fix_admin_profile_creation_rls.sql	"Users can update own profile"	public.profiles
fix_admin_profile_creation_rls.sql	"Users can view own profile"	public.profiles
fix_chat_messages_update_policy.sql	chat_messages_update	public.chat_messages
fix_deal_authorization_foreign_key_rls.sql	"Authenticated users can create businesses"	public.businesses
fix_deal_authorization_foreign_key_rls.sql	"Authenticated users can view all active discounts"	public.trusted_partner_discounts
fix_deal_authorization_foreign_key_rls.sql	"Authenticated users can view all businesses"	public.businesses
fix_deal_authorization_foreign_key_rls.sql	"Business owners can create discounts"	public.trusted_partner_discounts
fix_deal_authorization_foreign_key_rls.sql	"Business owners can update their business"	public.businesses
fix_deal_authorization_foreign_key_rls.sql	"Business owners can update their discounts"	public.trusted_partner_discounts
fix_deal_authorization_foreign_key_rls.sql	deal_auth_insert_member	public.deal_authorizations
fix_deal_authorization_foreign_key_rls.sql	deal_auth_select_business	public.deal_authorizations
fix_deal_authorization_foreign_key_rls.sql	deal_auth_select_member	public.deal_authorizations
fix_deal_authorization_foreign_key_rls.sql	deal_auth_update_business	public.deal_authorizations
fix_deal_authorization_rls.sql	"Trusted partners can update authorizations for their business"	deal_authorizations
fix_deal_authorization_rls.sql	"Trusted partners can view authorizations for their business"	deal_authorizations
fix_deal_authorizations_rls.sql	"Business owners can update their authorizations"	deal_authorizations
fix_deal_authorizations_rls.sql	"Business owners can view their authorizations"	deal_authorizations
fix_deal_authorizations_rls.sql	"Members can insert their authorizations"	deal_authorizations
fix_deal_authorizations_rls.sql	"Members can view their authorizations"	deal_authorizations
fix_deal_image_insert_policies.sql	"Admins can upload deal images for authorized partners"	storage.objects
fix_deal_image_insert_policies.sql	"Trusted partners can upload deal images"	storage.objects
fix_deal_image_upload_comprehensive.sql	"Admins can manage partner deal images"	storage.objects
fix_deal_image_upload_comprehensive.sql	"Anyone can view deal images"	storage.objects
fix_deal_image_upload_comprehensive.sql	"Trusted partners can delete own deal images"	storage.objects
fix_deal_image_upload_comprehensive.sql	"Trusted partners can update own deal images"	storage.objects
fix_deal_image_upload_comprehensive.sql	"Trusted partners can upload own deal images"	storage.objects
fix_deal_receipts_insert_policy.sql	"Trusted partners can insert receipts"	public.deal_receipts
fix_discount_visibility.sql	"Business owners can manage their discounts"	trusted_partner_discounts
fix_discount_visibility.sql	"Users can view all discounts"	trusted_partner_discounts
fix_email_check_rls.sql	to allow anonymous users to SELECT emails only
CREATE POLICY "Allow anonymous email checks"	profiles
FIX_LIVE_DB.sql	"Allow authenticated uploads to deal-images"	storage.objects
FIX_LIVE_DB.sql	"Allow owners to manage deal-images"	storage.objects
FIX_LIVE_DB.sql	"Allow public read of deal-images"	storage.objects
FIX_LIVE_DB.sql	"Members can insert their own card details"	public.members_card_details
FIX_LIVE_DB.sql	"Members can update their own card details"	public.members_card_details
FIX_LIVE_DB.sql	"Members can view their own card details"	public.members_card_details
FIX_LIVE_DB.sql	"Users can delete their own subscriptions"	public.subscriptions
fix_memberships_infinite_recursion.sql	"Admins can view all memberships"	public.memberships
